City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
671,Nadym,RU,70.56,overcast clouds,65.5333,72.5167,Apartment on Zvereva
672,Moindou,NC,78.75,overcast clouds,-21.6924,165.677,Gite de la RYAWA
673,Calabar,NG,74.44,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
674,Samana,DO,77.31,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
676,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
678,Barra Do Corda,BR,74.44,broken clouds,-5.5,-45.25,Belchior Palace Hotel
682,San Andres,CO,84.22,drizzle,12.5847,-81.7006,Hotel Arena Blanca
683,Aborlan,PH,86.07,scattered clouds,9.4352,118.5492,Kevina Transient House
684,Camargo,MX,89.56,clear sky,27.6667,-105.1667,Hotel Santa Fe
685,Sheridan,US,91.58,clear sky,44.8333,-106.9173,Comfort Inn & Suites
686,Brindisi,IT,71.44,clear sky,40.5833,17.6667,Agriturismo Tibitone
688,Wuhan,CN,89.69,light rain,30.5833,114.2667,Novotel Wuhan Xinhua Hotel
689,Nicoya,CR,74.75,light rain,10.1483,-85.452,Guayacan Real
690,Bandarbeyla,SO,79.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
692,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
693,Kanigiri,IN,82.31,overcast clouds,15.4,79.5167,Khasim kollafaram center
