,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Calama,CL,-22.4667,-68.9333,43.29,11,0,14.97,clear sky
346,Bengkulu,ID,-3.8004,102.2655,81.32,71,96,3.83,overcast clouds
347,Soyo,AO,-6.1349,12.3689,74.48,90,52,3.53,broken clouds
348,Kimbe,PG,-5.5502,150.1429,90.68,45,0,2.73,clear sky
349,Brookhaven,US,31.5791,-90.4407,75.24,87,14,1.54,few clouds
350,Havre,FR,49.5833,0.3333,59.4,82,0,5.75,clear sky
351,Cururupu,BR,-1.8283,-44.8683,73.33,98,90,3.15,overcast clouds
352,Xining,CN,36.6167,101.7667,61.39,60,3,2.26,clear sky
353,Irbil,IQ,36.1926,44.0106,77.92,27,0,4.63,clear sky
354,Talaya,RU,61.3833,152.75,74.61,34,41,5.19,scattered clouds
355,Ziarat,PK,30.3823,67.7282,66.22,52,0,0.56,clear sky
356,Kosa,RU,59.9445,54.9977,61.14,93,30,6.2,scattered clouds
357,Lompoc,US,34.6391,-120.4579,77.13,80,1,10.36,clear sky
358,Megion,RU,61.0296,76.1136,68.02,49,44,10.92,scattered clouds
359,San Jose,US,37.3394,-121.895,81.28,52,20,5.01,few clouds
360,Kyra,RU,49.5776,111.9753,66.4,55,100,6.46,overcast clouds
361,Narok,KE,-1.0783,35.8601,51.37,92,75,2.68,broken clouds
362,El Cope,PA,8.6167,-80.6,68.85,93,100,2.66,overcast clouds
363,Olafsvik,IS,64.8945,-23.7142,38.41,86,98,32.35,overcast clouds
364,Lavras,BR,-21.2453,-44.9997,52.34,94,0,6.17,clear sky
365,Pacific Grove,US,36.6177,-121.9166,81.0,82,1,7.0,clear sky
366,Letterkenny,IE,54.95,-7.7333,49.73,95,85,9.26,overcast clouds
367,Coos Bay,US,43.3665,-124.2179,66.02,91,90,8.05,light rain
368,Kagadi,UG,0.9606,30.7967,61.92,85,100,2.71,overcast clouds
369,Razdolinsk,RU,58.4211,94.6658,53.15,51,3,12.06,clear sky
370,Cedar Rapids,US,42.0083,-91.6441,85.5,46,1,6.91,clear sky
371,Fatehpur,IN,25.9333,80.8,82.67,75,100,11.14,overcast clouds
372,Lasa,IT,46.6166,10.7002,63.48,74,1,4.16,clear sky
373,Axim,GH,4.8699,-2.2405,78.94,86,89,7.09,light rain
374,Harper,LR,4.375,-7.7169,78.67,84,84,6.31,broken clouds
375,Gravdal,NO,68.1214,13.5031,44.87,67,90,7.63,overcast clouds
376,Falmouth,GB,50.1544,-5.0711,58.86,88,20,5.75,few clouds
377,Alanya,TR,36.5438,31.9998,66.33,64,0,5.82,clear sky
378,Jumla,NP,29.2747,82.1838,59.59,92,100,3.33,overcast clouds
379,Tamiahua,MX,21.2667,-97.45,77.14,88,98,4.05,overcast clouds
380,Arawa,PG,-6.2132,155.5367,85.59,72,7,4.16,light rain
381,Eura,FI,61.1333,22.1333,50.22,74,98,5.32,overcast clouds
382,Tabou,CI,4.423,-7.3528,78.44,85,72,5.37,light rain
383,Catania,IT,37.5021,15.0872,71.51,78,0,2.3,clear sky
384,Illapel,CL,-31.6308,-71.1653,58.78,66,47,1.68,scattered clouds
385,Mehamn,NO,71.0357,27.8492,43.97,83,15,27.45,few clouds
386,San Lawrenz,MT,36.0553,14.204,69.85,83,0,8.86,clear sky
387,Grande Prairie,CA,55.1667,-118.8027,73.58,33,75,4.61,broken clouds
388,Northam,GB,51.0333,-4.2167,60.39,88,7,2.57,clear sky
389,Weinan,CN,34.5036,109.5089,78.49,75,100,8.03,light rain
390,Kudahuvadhoo,MV,2.6708,72.8944,82.81,74,98,11.95,overcast clouds
391,Auki,SB,-8.7676,160.7034,83.64,73,100,4.41,overcast clouds
392,Shalakusha,RU,62.2247,40.2539,58.84,92,74,2.68,broken clouds
393,Yulara,AU,-25.2406,130.9889,60.64,63,2,9.22,clear sky
394,Staryy Nadym,RU,65.6118,72.6842,69.13,55,100,15.12,overcast clouds
395,Dombarovskiy,RU,50.7587,59.5386,65.89,40,100,15.77,overcast clouds
396,Nhulunbuy,AU,-12.2333,136.7667,84.81,61,40,8.05,scattered clouds
397,Hofn,IS,64.2539,-15.2082,38.71,69,99,15.7,overcast clouds
398,Sandpoint,US,48.2766,-116.5533,87.62,37,1,1.01,clear sky
399,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,14.97,scattered clouds
400,Shalinskoye,RU,55.7228,93.7594,48.88,91,100,12.62,overcast clouds
401,Lethem,GY,3.3803,-59.7968,77.7,77,100,5.12,overcast clouds
402,Anito,PH,12.4497,125.2886,86.97,62,15,2.57,few clouds
403,Namibe,AO,-15.1961,12.1522,70.72,64,5,3.2,clear sky
404,Siyabuswa,ZA,-25.1132,29.0445,52.11,37,14,3.91,few clouds
405,Toamasina,MG,-18.1667,49.3833,69.8,94,75,10.36,light rain
406,Egtved,DK,55.618,9.301,58.64,94,90,5.75,overcast clouds
407,Karpogory,RU,64.0019,44.4451,61.59,91,10,7.16,clear sky
408,La Romana,DO,18.4273,-68.9728,80.33,83,40,6.91,scattered clouds
409,Manaure,CO,11.7751,-72.4445,81.12,76,0,13.82,clear sky
410,Saint-Georges,GD,12.0564,-61.7485,82.08,78,40,11.5,scattered clouds
411,Bac Lieu,VN,9.285,105.7244,85.35,68,21,8.25,few clouds
412,Hurghada,EG,27.2574,33.8129,82.44,32,0,17.27,clear sky
413,Turukhansk,RU,65.8167,87.9833,54.75,51,77,5.55,broken clouds
414,Grindavik,IS,63.8424,-22.4338,42.75,75,75,13.8,broken clouds
415,Delta Del Tigre,UY,-34.7633,-56.3853,57.31,88,0,9.73,clear sky
416,Totness,SR,5.8833,-56.3167,77.32,88,31,4.63,scattered clouds
417,Palauig,PH,15.435,119.9045,82.6,75,100,8.61,overcast clouds
418,Cangzhou,CN,38.3167,116.8667,80.56,74,100,9.78,light rain
419,Posse,BR,-14.0931,-46.3694,73.13,48,72,5.28,broken clouds
420,Mosquera,CO,4.7059,-74.2302,55.49,94,75,2.3,broken clouds
421,Mana,GF,5.6592,-53.7767,77.47,89,98,5.48,overcast clouds
422,Yazman,PK,29.1212,71.7446,90.97,50,0,3.27,clear sky
423,Turbat,PK,26.0023,63.044,82.6,80,75,3.09,broken clouds
424,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,59.92,66,0,3.89,clear sky
425,Lins,BR,-21.6786,-49.7425,65.14,66,0,10.51,clear sky
426,Angoram,PG,-4.0625,144.0661,89.83,55,45,3.44,scattered clouds
427,Camana,PE,-16.6228,-72.7111,63.77,80,0,4.52,clear sky
428,Bud,US,39.447,-86.1758,80.69,43,0,7.38,clear sky
429,Opuwo,NA,-18.0607,13.84,55.4,29,0,7.18,clear sky
430,Guiratinga,BR,-16.3494,-53.7583,69.03,62,0,4.41,clear sky
431,Visby,SE,57.6409,18.296,52.02,93,16,6.91,few clouds
432,Changji,CN,44.0167,87.3167,56.19,82,75,6.71,broken clouds
433,Oranjestad,AW,12.524,-70.027,82.35,81,20,10.0,few clouds
434,Manakara,MG,-22.1333,48.0167,63.72,97,100,8.34,heavy intensity rain
435,Port Blair,IN,11.6667,92.75,83.14,80,100,20.13,overcast clouds
436,Ordubad,AZ,38.9059,46.0234,60.89,62,0,2.77,clear sky
437,Hermon,US,44.8101,-68.9134,68.07,66,90,4.61,overcast clouds
438,Nabire,ID,-3.3667,135.4833,85.48,66,95,4.18,overcast clouds
439,Pascagoula,US,30.3658,-88.5561,75.56,95,40,5.75,light rain
440,Young,UY,-32.6833,-57.6333,55.22,88,1,7.72,clear sky
441,Sorland,NO,67.667,12.6934,45.54,68,87,8.77,overcast clouds
442,Ust-Kulom,RU,61.6864,53.6902,61.77,93,34,5.93,scattered clouds
443,Lamu,KE,-2.2717,40.902,77.22,78,98,16.26,overcast clouds
444,Itarema,BR,-2.9248,-39.9167,78.04,83,19,9.01,few clouds
445,Bryant,US,34.5959,-92.4891,85.66,77,5,4.76,clear sky
446,Kirkwood,US,38.5834,-90.4068,83.79,54,1,8.05,clear sky
447,Catuday,PH,16.2923,119.8062,82.4,71,99,11.32,overcast clouds
448,Ranong,TH,9.9658,98.6348,80.53,82,100,11.05,overcast clouds
449,Adeje,ES,28.1227,-16.726,66.92,78,20,4.0,few clouds
450,Chirongui,YT,-12.9319,45.1483,76.93,67,98,15.64,overcast clouds
451,Cairns,AU,-16.9167,145.7667,84.11,74,40,3.44,scattered clouds
452,Le Port,RE,-20.9373,55.2919,71.56,81,37,11.32,scattered clouds
453,Margate,GB,51.3813,1.3862,61.92,74,6,5.93,clear sky
454,Normandin,CA,48.8333,-72.5321,59.31,55,100,1.14,overcast clouds
455,Chapayevka,UA,47.4711,36.3451,60.69,95,100,8.01,overcast clouds
456,Cottonwood,US,34.7392,-112.0099,100.24,4,6,1.01,clear sky
457,Boende,CD,-0.2167,20.8667,70.54,91,69,2.75,broken clouds
458,Pochutla,MX,15.7432,-96.4661,81.45,90,99,2.91,overcast clouds
459,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,3.44,few clouds
460,Abha,SA,18.2164,42.5053,68.25,12,0,0.0,clear sky
461,Shelburne,CA,44.0787,-80.2041,66.65,90,12,7.02,few clouds
462,Nizhniy Kuranakh,RU,58.8353,125.4869,56.93,67,100,4.03,overcast clouds
463,Yanji,CN,42.9075,129.5078,80.55,52,51,3.18,broken clouds
464,Manono,CD,-7.3,27.4167,66.04,53,80,3.58,broken clouds
465,Magole,TZ,-6.3667,37.3667,60.46,80,5,1.81,clear sky
466,Sar-E Pul,AF,35.8333,66.1667,67.77,29,0,5.61,clear sky
467,Rutana,BI,-3.8667,30.1,55.85,79,78,2.08,broken clouds
468,Kiruna,SE,67.8557,20.2251,40.12,65,90,9.22,overcast clouds
469,Wasilla,US,61.5814,-149.4394,70.48,48,1,6.91,clear sky
470,Beira,MZ,-19.8436,34.8389,64.49,100,0,5.01,clear sky
471,Shiyan,CN,32.6475,110.7781,82.67,80,100,1.34,overcast clouds
472,Boyabat,TR,41.4689,34.7667,58.03,91,28,4.21,scattered clouds
473,Alvaraes,BR,-3.2208,-64.8042,73.81,97,100,1.97,light rain
474,Barcelona,ES,41.3888,2.159,81.32,51,0,1.01,clear sky
475,Wucheng,CN,29.6008,118.175,87.84,67,96,5.1,overcast clouds
476,Aswan,EG,24.0934,32.907,87.35,25,23,14.63,few clouds
477,Englewood,US,39.6478,-104.9878,88.57,45,75,5.01,broken clouds
478,Lovozero,RU,68.005,35.0117,53.33,68,3,7.34,clear sky
479,Erzurum,TR,40.0,41.5,44.28,76,0,4.0,clear sky
480,Saint-Louis,SN,16.3333,-15.0,75.38,67,100,11.99,overcast clouds
481,Lazaro Cardenas,MX,17.9583,-102.2,79.68,80,95,3.02,overcast clouds
482,Kinkala,CG,-4.3614,14.7644,71.91,78,22,4.74,few clouds
483,Vila Velha,BR,-20.3297,-40.2925,69.75,78,75,10.36,broken clouds
484,Sao Filipe,CV,14.8961,-24.4956,75.2,87,81,11.86,broken clouds
485,Hay River,CA,60.8156,-115.7999,64.36,48,40,9.22,scattered clouds
486,Abu Dhabi,AE,24.4667,54.3667,87.82,70,0,3.44,clear sky
487,Nuevo Laredo,MX,27.4763,-99.5164,94.98,46,1,12.66,clear sky
488,Haines Junction,CA,60.7522,-137.5108,62.55,48,99,4.61,light rain
489,Luhyny,UA,51.082,28.4006,49.93,99,87,6.71,overcast clouds
490,Thunder Bay,CA,48.4001,-89.3168,69.71,60,75,8.05,broken clouds
491,Sabha,LY,27.0377,14.4283,76.66,27,0,8.3,clear sky
492,Palmer,US,42.1584,-72.3287,72.21,52,20,6.91,few clouds
493,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,25.32,scattered clouds
494,Yaounde,CM,3.8667,11.5167,71.13,100,40,0.0,scattered clouds
495,Moss Vale,AU,-34.55,150.3833,58.33,62,95,3.44,overcast clouds
496,Guiberoua,CI,6.2392,-6.1727,72.68,99,93,3.36,overcast clouds
497,Port Dickson,MY,2.5228,101.7959,82.51,73,9,6.17,clear sky
498,Kama,RU,56.3051,54.0936,61.59,79,68,4.27,broken clouds
499,Thinadhoo,MV,0.5333,72.9333,81.93,74,95,8.32,overcast clouds
500,Kununurra,AU,-15.7667,128.7333,82.38,30,35,3.44,scattered clouds
501,Isangel,VU,-19.55,169.2667,79.23,77,12,11.74,few clouds
502,Wanning,CN,18.8003,110.3967,86.2,68,100,9.75,overcast clouds
503,Aykhal,RU,66.0,111.5,40.03,95,100,16.4,moderate rain
504,Qui Nhon,VN,13.7667,109.2333,86.0,61,99,8.66,overcast clouds
505,Tomatlan,MX,19.9333,-105.25,79.88,71,100,2.53,overcast clouds
506,Dolores,AR,-36.3132,-57.6792,53.22,89,40,8.1,scattered clouds
507,Lebyazhye,RU,55.2689,66.4947,69.21,53,11,3.53,few clouds
508,Aksha,RU,50.2814,113.2867,68.18,52,99,6.93,overcast clouds
509,Dawei,MM,14.0833,98.2,80.29,89,100,7.96,light rain
510,Nenjiang,CN,49.1833,125.2167,79.23,55,100,7.92,overcast clouds
511,Linhares,BR,-19.3911,-40.0722,68.92,76,100,7.0,overcast clouds
512,Kamaishi,JP,39.2667,141.8833,79.75,84,45,3.67,scattered clouds
513,Heinola,FI,61.2056,26.0381,51.89,83,20,4.88,few clouds
514,Lashio,MM,22.9333,97.75,74.86,88,98,1.86,overcast clouds
515,Venkatagiri,IN,13.9667,79.5833,86.47,53,100,18.25,overcast clouds
516,Sembe,CG,1.6481,14.5806,69.37,99,100,0.31,overcast clouds
517,Havoysund,NO,70.9963,24.6622,41.88,81,52,28.23,broken clouds
518,Nosy Varika,MG,-20.5833,48.5333,65.08,95,100,13.91,light rain
519,Jalu,LY,29.0331,21.5482,70.9,58,0,9.53,clear sky
520,Svetlogorsk,BY,52.6333,29.7333,52.59,95,97,4.32,overcast clouds
521,Yarkovo,RU,57.4028,67.0786,68.31,55,36,5.1,scattered clouds
522,Padang,ID,-0.9492,100.3543,84.25,71,14,2.24,few clouds
523,Molina,CL,-35.1167,-71.2833,54.37,100,90,3.44,overcast clouds
524,Nova Olinda Do Norte,BR,-3.8881,-59.0942,78.01,81,85,2.35,overcast clouds
525,Marabba,SD,12.35,32.1833,76.35,68,100,24.14,overcast clouds
526,Warrington,GB,53.3925,-2.5802,68.11,83,5,1.01,clear sky
527,Daru,PG,-9.0763,143.2092,83.32,73,34,6.91,scattered clouds
528,Maebaru,JP,33.55,130.2,87.94,64,84,2.68,broken clouds
529,Deder,ET,9.3167,41.45,55.78,79,100,9.46,overcast clouds
530,Gaoua,BF,10.2992,-3.2508,79.41,63,53,5.1,broken clouds
531,Eureka,US,40.8021,-124.1637,66.2,95,100,3.0,light rain
532,Jinchang,CN,38.4953,102.1739,70.7,42,0,7.09,clear sky
533,Hervey Bay,AU,-25.2986,152.8535,69.03,73,100,3.0,overcast clouds
534,Chapleau,CA,47.8405,-83.4034,64.49,55,75,9.22,broken clouds
535,Waddan,LY,29.1614,16.139,70.56,50,0,4.68,clear sky
536,Synya,RU,65.3718,58.0387,63.77,68,100,7.18,overcast clouds
537,Budhlada,IN,29.9333,75.5667,89.94,45,5,6.02,clear sky
538,Kupang,ID,-10.1667,123.5833,84.78,61,20,5.75,few clouds
539,Simcoe,CA,42.8334,-80.2997,73.49,83,0,7.18,clear sky
540,Boguchany,RU,58.3814,97.4531,49.06,81,98,10.56,overcast clouds
541,Sylvan Lake,CA,52.3168,-114.0853,81.72,41,20,8.05,few clouds
542,Zdvinsk,RU,54.7021,78.661,61.7,75,7,9.93,clear sky
543,Tommot,RU,58.9564,126.2925,57.47,64,100,9.8,overcast clouds
544,Key West,US,24.5557,-81.7826,82.99,76,1,10.36,clear sky
545,Olga,RU,43.7444,135.2892,63.12,69,100,9.53,overcast clouds
546,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.18,98,93,1.41,overcast clouds
547,Pizhma,RU,57.8642,47.1171,58.77,97,40,4.18,scattered clouds
548,Namatanai,PG,-3.6667,152.4333,85.28,63,9,4.94,clear sky
549,Necochea,AR,-38.5473,-58.7368,51.04,84,100,8.32,overcast clouds
550,Caborca,MX,30.5838,-111.101,96.49,9,2,12.59,clear sky
551,Mareeba,AU,-17.0,145.4333,79.48,78,43,2.44,scattered clouds
552,Porto Belo,BR,-27.1578,-48.5531,60.17,58,1,4.54,clear sky
553,Konstantinovskoye,RU,45.2992,42.6367,64.98,90,8,0.18,clear sky
554,Tigil,RU,57.8,158.6667,67.03,36,5,5.61,clear sky
555,Yelizovo,RU,53.1873,158.3805,50.14,93,75,6.71,light rain
556,Amot,NO,59.5714,7.9877,56.77,92,100,5.06,overcast clouds
557,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,75,75,12.66,light rain
558,Hadejia,NG,12.4498,10.0444,86.97,42,13,9.26,few clouds
559,Kuybyshevo,RU,47.8123,38.9073,60.76,89,9,0.94,clear sky
560,Atar,MR,20.5169,-13.0499,95.2,12,24,15.21,few clouds
561,Eyl,SO,7.9803,49.8164,78.75,71,100,21.99,overcast clouds
562,Mount Gambier,AU,-37.8333,140.7667,57.11,72,85,10.36,overcast clouds
563,Kenai,US,60.5544,-151.2583,65.03,69,1,14.97,clear sky
564,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,56.03,68,0,7.72,clear sky
565,Khorixas,NA,-20.3667,14.9667,58.93,27,0,6.51,clear sky
566,Uznach,CH,47.2242,8.9826,62.17,51,6,3.24,clear sky
567,Sabak,MY,3.7675,100.9875,78.85,84,33,0.74,scattered clouds
568,Umm Kaddadah,SD,13.6017,26.6876,89.01,37,100,16.75,overcast clouds
569,Yakeshi,CN,49.2833,120.7333,76.5,45,100,13.13,overcast clouds
570,Wad Rawah,SD,15.1603,33.1397,81.03,54,98,17.69,overcast clouds
571,Diffa,NE,13.3154,12.6113,86.76,41,42,7.85,scattered clouds
572,Barreirinha,BR,-2.7933,-57.07,78.35,78,98,1.81,light rain
573,Olinda,BR,-8.0089,-34.8553,73.13,78,20,4.61,few clouds
574,Hanzhong,CN,33.0728,107.0303,72.16,99,100,1.54,moderate rain
575,Bafq,IR,31.6128,55.4107,90.1,11,0,5.28,clear sky
576,Hirtshals,DK,57.5881,9.9592,58.82,95,7,17.0,clear sky
577,Richards Bay,ZA,-28.783,32.0377,65.71,43,0,6.51,clear sky
578,Santa Marta,CO,11.2408,-74.199,84.25,70,20,5.75,few clouds
579,Dongying,CN,37.4564,118.4856,88.43,47,100,12.68,light rain
580,Barlinek,PL,52.9946,15.2186,48.34,93,2,5.68,clear sky
581,Yumen,CN,40.2833,97.2,72.73,33,100,15.3,overcast clouds
582,Solenzo,BF,12.1833,-4.0833,88.16,45,92,6.69,overcast clouds
583,Ahipara,NZ,-35.1667,173.1667,63.05,91,91,6.42,overcast clouds
584,La Ronge,CA,55.1001,-105.2842,79.05,19,20,3.44,few clouds
585,Andradas,BR,-22.0681,-46.5692,54.43,78,0,4.47,clear sky
586,Myrhorod,UA,49.9685,33.6089,56.44,96,7,6.04,clear sky
587,Samarai,PG,-10.6167,150.6667,81.72,76,30,8.3,scattered clouds
588,Divnogorsk,RU,55.9594,92.3619,55.89,76,77,7.23,broken clouds
589,Mechetinskaya,RU,46.7713,40.456,61.47,97,5,0.92,clear sky
590,Dwarka,IN,22.2394,68.9678,85.26,75,100,17.76,overcast clouds
591,Cukai,MY,4.25,103.4167,84.15,69,37,3.89,scattered clouds
592,Chinsali,ZM,-10.5414,32.0816,51.19,65,7,6.2,clear sky
593,Omboue,GA,-1.5746,9.2618,75.99,90,99,6.93,overcast clouds
594,Mongo,TD,12.1844,18.693,84.18,53,100,9.01,overcast clouds
595,Mbaiki,CF,3.8678,17.9892,66.88,97,88,1.07,overcast clouds
596,Puteyets,RU,65.1716,57.091,64.27,68,100,8.37,overcast clouds
597,Honningsvag,NO,70.9821,25.9704,43.05,81,65,25.68,broken clouds
598,Chunoyar,RU,57.4467,97.3217,46.87,92,100,10.2,light rain
599,Teya,RU,60.3778,92.6267,54.0,46,3,7.85,clear sky
600,Salinopolis,BR,-0.6136,-47.3561,78.21,86,92,7.47,light rain
601,Xingcheng,CN,40.6167,120.7167,69.67,81,100,10.83,overcast clouds
602,Ryotsu,JP,38.0833,138.4333,69.76,84,99,7.56,overcast clouds
603,Ise,JP,34.4833,136.7,72.72,85,96,3.18,overcast clouds
604,Maningrida,AU,-12.0667,134.2667,85.57,51,46,4.85,scattered clouds
605,Kachug,RU,53.9606,105.8817,60.4,57,83,5.1,broken clouds
606,Acatlan,MX,20.15,-98.45,57.22,98,100,4.29,light rain
607,Korla,CN,41.7597,86.1469,70.93,32,100,16.22,overcast clouds
608,Gorey,IE,52.6747,-6.2925,63.57,92,75,4.76,broken clouds
609,Kutum,SD,14.2,24.6667,81.07,14,95,8.43,overcast clouds
610,Isoka,ZM,-10.1606,32.6335,49.08,80,18,2.06,few clouds
611,Karratha,AU,-20.7377,116.8463,74.93,33,2,17.54,clear sky
612,Novikovo,RU,51.1537,37.8879,60.08,88,10,0.63,clear sky
613,Matucana,PE,-11.85,-76.4,34.2,69,9,0.11,clear sky
614,Clearwater,US,27.9659,-82.8001,83.91,73,90,1.01,overcast clouds
615,Vanimo,PG,-2.6741,141.3028,86.09,66,7,6.91,clear sky
616,Saint-Joseph,RE,-21.3667,55.6167,70.16,78,41,16.11,scattered clouds
617,Gamba,GA,-2.65,10.0,75.94,88,100,2.8,overcast clouds
618,Shahrud,IR,36.4182,54.9763,71.24,54,0,10.29,clear sky
619,Kyshtovka,RU,56.555,76.6271,64.45,67,22,4.83,few clouds
620,Zhigansk,RU,66.7697,123.3711,55.4,74,100,4.43,overcast clouds
621,Trapani,IT,37.8333,12.6667,70.92,88,0,2.3,clear sky
622,Kytmanovo,RU,53.4593,85.4479,59.04,88,84,7.14,light rain
623,Klaksvik,FO,62.2266,-6.589,49.12,84,99,19.98,overcast clouds
624,North Vanlaiphai,IN,23.1333,93.0667,70.16,92,41,1.72,scattered clouds
625,Vidim,RU,56.4088,103.1106,59.41,53,100,10.76,overcast clouds
626,Jutai,BR,-5.1833,-68.9,75.25,79,89,1.77,overcast clouds
627,Helong,CN,42.5397,128.9972,81.79,46,94,2.91,overcast clouds
628,Mountain Home,US,43.133,-115.6912,101.68,4,1,12.66,clear sky
629,Yarmouth,US,41.7057,-70.2286,65.21,80,1,7.0,clear sky
630,College,US,64.8569,-147.8028,74.86,52,75,11.5,broken clouds
631,Ciudad Bolivar,VE,8.1222,-63.5497,80.92,69,65,12.35,broken clouds
632,Windhoek,NA,-22.5594,17.0832,48.4,46,0,6.91,clear sky
633,Bouna,CI,9.2667,-3.0,74.46,86,21,5.57,light rain
634,Thaba-Tseka,LS,-29.522,28.6084,39.36,70,3,2.64,clear sky
635,Mapimi,MX,25.8167,-103.85,86.18,24,100,19.24,overcast clouds
636,Banes,CU,20.9625,-75.7186,75.81,86,100,1.41,overcast clouds
637,Valparaiso,CL,-33.0393,-71.6273,54.48,78,81,5.93,broken clouds
638,Cayenne,GF,4.9333,-52.3333,76.08,91,75,2.3,broken clouds
639,Kumylzhenskaya,RU,49.8809,42.5898,62.19,88,95,3.47,overcast clouds
640,Whyalla,AU,-33.0333,137.5833,64.29,48,90,6.91,overcast clouds
641,Antsohihy,MG,-14.8796,47.9875,71.2,93,93,3.15,overcast clouds
642,Rawson,AR,-43.3002,-65.1023,48.15,49,81,15.99,broken clouds
643,Alugan,PH,12.2188,125.4808,84.15,67,10,4.23,clear sky
644,Bauta,CU,22.9828,-82.5464,78.69,83,20,4.61,few clouds
645,Fare,PF,-16.7,-151.0167,79.61,78,23,11.99,light rain
646,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.77,99,98,1.12,light rain
647,Port Shepstone,ZA,-30.7414,30.455,67.87,64,6,13.31,clear sky
648,Flin Flon,CA,54.7682,-101.865,69.62,44,15,4.21,few clouds
649,Pitimbu,BR,-7.4706,-34.8086,73.99,89,46,9.73,scattered clouds
650,Pedasi,PA,7.5333,-80.0333,69.44,83,100,15.37,overcast clouds
651,Talara,PE,-4.5772,-81.2719,67.57,86,86,8.52,overcast clouds
652,Sola,VU,-13.8833,167.55,80.35,76,50,17.02,scattered clouds
653,Rio Branco,BR,-9.9747,-67.81,74.01,88,20,0.0,few clouds
654,Pangkalanbuun,ID,-2.6833,111.6167,85.06,65,21,4.34,light rain
655,Marsh Harbour,BS,26.5412,-77.0636,81.97,76,13,11.48,few clouds
656,Yeppoon,AU,-23.1333,150.7333,71.38,87,87,5.93,overcast clouds
657,At-Bashi,KG,41.1702,75.8106,48.56,77,95,2.15,overcast clouds
658,Tevaitoa,PF,-16.7833,-151.5,79.45,80,92,13.35,light rain
659,Muros,ES,42.7762,-9.0603,68.5,92,50,4.68,scattered clouds
660,De Aar,ZA,-30.6497,24.0123,52.3,58,3,4.59,clear sky
661,Hualmay,PE,-11.0964,-77.6139,64.67,83,1,6.71,clear sky
662,Santarem,BR,-2.4431,-54.7083,78.93,94,0,4.61,clear sky
663,Jind,IN,29.3167,76.3167,89.98,46,15,4.99,few clouds
664,Coihaique,CL,-45.5752,-72.0662,37.35,65,0,3.44,clear sky
665,Villamontes,BO,-21.25,-63.5,59.41,52,0,4.36,clear sky
666,Prince Rupert,CA,54.3161,-130.3201,55.49,91,90,3.44,light rain
667,Atbasar,KZ,51.8,68.3333,67.95,55,31,6.89,scattered clouds
668,Kwinana,AU,-32.25,115.7667,66.18,63,87,3.0,light rain
669,Melilla,ES,35.2937,-2.9383,70.18,88,0,4.61,clear sky
670,Springdale,US,36.1867,-94.1288,82.51,54,1,4.61,clear sky
671,Nadym,RU,65.5333,72.5167,70.56,52,100,16.96,overcast clouds
672,Moindou,NC,-21.6924,165.677,78.75,62,100,5.55,overcast clouds
673,Calabar,NG,4.9517,8.322,74.44,97,88,1.43,overcast clouds
674,Samana,DO,19.2056,-69.3369,77.31,89,5,6.76,clear sky
675,Putina,PE,-15.4667,-69.4333,42.33,56,1,4.65,clear sky
676,Ewa Beach,US,21.3156,-158.0072,84.15,54,1,20.0,clear sky
677,Suntar,RU,62.1444,117.6319,69.62,35,100,5.14,overcast clouds
678,Barra Do Corda,BR,-5.5,-45.25,74.44,73,71,3.02,broken clouds
679,Taltal,CL,-25.4,-70.4833,58.53,82,49,2.33,scattered clouds
680,Maku,IR,39.2911,44.4521,61.12,52,0,4.36,clear sky
681,Sarkand,KZ,45.41,79.9186,59.25,38,0,6.51,clear sky
682,San Andres,CO,12.5847,-81.7006,84.22,79,40,11.5,drizzle
683,Aborlan,PH,9.4352,118.5492,86.07,67,29,4.74,scattered clouds
684,Camargo,MX,27.6667,-105.1667,89.56,14,4,17.27,clear sky
685,Sheridan,US,44.8333,-106.9173,91.58,20,1,3.44,clear sky
686,Brindisi,IT,40.5833,17.6667,71.44,74,1,11.99,clear sky
687,Bulungu,CD,-4.55,18.6,67.17,44,93,1.34,overcast clouds
688,Wuhan,CN,30.5833,114.2667,89.69,55,100,15.75,light rain
689,Nicoya,CR,10.1483,-85.452,74.75,87,100,2.84,light rain
690,Bandarbeyla,SO,9.4942,50.8122,79.36,69,100,24.45,overcast clouds
691,Narrabri,AU,-30.3167,149.7833,60.53,55,40,6.91,scattered clouds
692,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,20,2.01,few clouds
693,Kanigiri,IN,15.4,79.5167,82.31,62,100,17.05,overcast clouds
694,Celestun,MX,20.8667,-90.4,78.21,80,99,11.23,overcast clouds
695,Bage,BR,-31.3314,-54.1069,56.8,87,0,6.91,clear sky
696,Marystown,CA,47.1666,-55.1483,48.85,100,31,11.43,scattered clouds
697,Alice Springs,AU,-23.7,133.8833,74.21,21,40,11.99,scattered clouds
698,Tete,MZ,-16.1564,33.5867,55.49,81,0,0.0,clear sky
